nohup: ignoring input
Epoch 1, Loss: 1.2146, train_acc: 0.56, val_acc: 0.56
Epoch 2, Loss: 0.9742, train_acc: 0.65, val_acc: 0.65
Epoch 3, Loss: 0.8609, train_acc: 0.75, val_acc: 0.74
Epoch 4, Loss: 0.6106, train_acc: 0.76, val_acc: 0.74
Epoch 5, Loss: 0.7053, train_acc: 0.81, val_acc: 0.79
Epoch 6, Loss: 0.5184, train_acc: 0.82, val_acc: 0.79
Epoch 7, Loss: 0.3921, train_acc: 0.83, val_acc: 0.81
Epoch 8, Loss: 0.3941, train_acc: 0.86, val_acc: 0.83
Epoch 9, Loss: 0.4758, train_acc: 0.86, val_acc: 0.83
Epoch 10, Loss: 0.3097, train_acc: 0.88, val_acc: 0.84
Epoch 11, Loss: 0.2656, train_acc: 0.88, val_acc: 0.85
Epoch 12, Loss: 0.3177, train_acc: 0.90, val_acc: 0.86
Epoch 13, Loss: 0.2966, train_acc: 0.91, val_acc: 0.87
Epoch 14, Loss: 0.3216, train_acc: 0.92, val_acc: 0.88
Epoch 15, Loss: 0.2008, train_acc: 0.93, val_acc: 0.88
Epoch 16, Loss: 0.1819, train_acc: 0.93, val_acc: 0.88
Epoch 17, Loss: 0.2723, train_acc: 0.93, val_acc: 0.87
Epoch 18, Loss: 0.2295, train_acc: 0.94, val_acc: 0.88
Epoch 19, Loss: 0.0554, train_acc: 0.94, val_acc: 0.87
Epoch 20, Loss: 0.1694, train_acc: 0.95, val_acc: 0.89
Epoch 21, Loss: 0.2356, train_acc: 0.94, val_acc: 0.88
Epoch 22, Loss: 0.0646, train_acc: 0.95, val_acc: 0.88
Epoch 23, Loss: 0.1591, train_acc: 0.96, val_acc: 0.89
Epoch 24, Loss: 0.2144, train_acc: 0.96, val_acc: 0.89
Epoch 25, Loss: 0.2906, train_acc: 0.97, val_acc: 0.89
Epoch 26, Loss: 0.1089, train_acc: 0.96, val_acc: 0.89
Epoch 27, Loss: 0.0672, train_acc: 0.97, val_acc: 0.90
Epoch 28, Loss: 0.1380, train_acc: 0.97, val_acc: 0.89
Epoch 29, Loss: 0.2167, train_acc: 0.96, val_acc: 0.89
Epoch 30, Loss: 0.0737, train_acc: 0.97, val_acc: 0.89
Epoch 31, Loss: 0.0617, train_acc: 0.98, val_acc: 0.90
Epoch 32, Loss: 0.0481, train_acc: 0.98, val_acc: 0.90
Epoch 33, Loss: 0.0441, train_acc: 0.98, val_acc: 0.91
Epoch 34, Loss: 0.0384, train_acc: 0.97, val_acc: 0.90
Epoch 35, Loss: 0.0737, train_acc: 0.98, val_acc: 0.90
Epoch 36, Loss: 0.0622, train_acc: 0.98, val_acc: 0.90
Epoch 37, Loss: 0.1385, train_acc: 0.98, val_acc: 0.90
Epoch 38, Loss: 0.0544, train_acc: 0.99, val_acc: 0.91
Epoch 39, Loss: 0.0221, train_acc: 0.99, val_acc: 0.90
Epoch 40, Loss: 0.0568, train_acc: 0.98, val_acc: 0.90
Epoch 41, Loss: 0.0288, train_acc: 0.98, val_acc: 0.90
Epoch 42, Loss: 0.0431, train_acc: 0.98, val_acc: 0.90
Epoch 43, Loss: 0.0858, train_acc: 0.99, val_acc: 0.90
Epoch 44, Loss: 0.0664, train_acc: 0.98, val_acc: 0.90
Epoch 45, Loss: 0.0043, train_acc: 0.99, val_acc: 0.90
Epoch 46, Loss: 0.0343, train_acc: 0.98, val_acc: 0.90
Epoch 47, Loss: 0.0869, train_acc: 0.99, val_acc: 0.90
Epoch 48, Loss: 0.0049, train_acc: 0.99, val_acc: 0.91
Epoch 49, Loss: 0.2375, train_acc: 0.99, val_acc: 0.90
Epoch 50, Loss: 0.0050, train_acc: 0.99, val_acc: 0.90
Epoch 51, Loss: 0.0595, train_acc: 0.99, val_acc: 0.91
Epoch 52, Loss: 0.0100, train_acc: 0.99, val_acc: 0.90
Epoch 53, Loss: 0.0233, train_acc: 0.99, val_acc: 0.91
Epoch 54, Loss: 0.0053, train_acc: 0.99, val_acc: 0.91
Epoch 55, Loss: 0.1164, train_acc: 0.99, val_acc: 0.91
Epoch 56, Loss: 0.0576, train_acc: 0.99, val_acc: 0.91
Epoch 57, Loss: 0.0366, train_acc: 0.99, val_acc: 0.91
Epoch 58, Loss: 0.0253, train_acc: 0.98, val_acc: 0.90
Epoch 59, Loss: 0.0280, train_acc: 0.99, val_acc: 0.90
Epoch 60, Loss: 0.0046, train_acc: 0.99, val_acc: 0.91
Epoch 61, Loss: 0.0491, train_acc: 0.99, val_acc: 0.91
Epoch 62, Loss: 0.0906, train_acc: 0.99, val_acc: 0.90
Epoch 63, Loss: 0.0066, train_acc: 0.99, val_acc: 0.90
Epoch 64, Loss: 0.0753, train_acc: 0.99, val_acc: 0.91
Epoch 65, Loss: 0.0807, train_acc: 0.99, val_acc: 0.91
Epoch 66, Loss: 0.0157, train_acc: 0.99, val_acc: 0.90
Epoch 67, Loss: 0.0328, train_acc: 0.99, val_acc: 0.90
Epoch 68, Loss: 0.0161, train_acc: 0.99, val_acc: 0.91
Epoch 69, Loss: 0.0483, train_acc: 0.99, val_acc: 0.91
Epoch 70, Loss: 0.0471, train_acc: 0.99, val_acc: 0.91
Epoch 71, Loss: 0.0338, train_acc: 0.99, val_acc: 0.91
Epoch 72, Loss: 0.0026, train_acc: 0.99, val_acc: 0.91
Epoch 73, Loss: 0.0133, train_acc: 0.99, val_acc: 0.91
Epoch 74, Loss: 0.0109, train_acc: 0.99, val_acc: 0.90
Epoch 75, Loss: 0.0549, train_acc: 0.99, val_acc: 0.91
Epoch 76, Loss: 0.0007, train_acc: 0.99, val_acc: 0.91
Epoch 77, Loss: 0.0128, train_acc: 0.99, val_acc: 0.91
Epoch 78, Loss: 0.0092, train_acc: 0.99, val_acc: 0.91
Epoch 79, Loss: 0.0024, train_acc: 0.99, val_acc: 0.91
Epoch 80, Loss: 0.0121, train_acc: 1.00, val_acc: 0.91
Epoch 81, Loss: 0.0140, train_acc: 1.00, val_acc: 0.91
Epoch 82, Loss: 0.0202, train_acc: 0.99, val_acc: 0.91
Epoch 83, Loss: 0.0350, train_acc: 0.99, val_acc: 0.91
Epoch 84, Loss: 0.0482, train_acc: 0.99, val_acc: 0.91
Epoch 85, Loss: 0.0022, train_acc: 1.00, val_acc: 0.91
Epoch 86, Loss: 0.0343, train_acc: 0.99, val_acc: 0.91
Epoch 87, Loss: 0.1301, train_acc: 1.00, val_acc: 0.91
Epoch 88, Loss: 0.0047, train_acc: 1.00, val_acc: 0.91
Epoch 89, Loss: 0.0119, train_acc: 0.99, val_acc: 0.91
Epoch 90, Loss: 0.0319, train_acc: 0.99, val_acc: 0.91
Epoch 91, Loss: 0.0500, train_acc: 1.00, val_acc: 0.91
Epoch 92, Loss: 0.0232, train_acc: 1.00, val_acc: 0.92
Epoch 93, Loss: 0.0021, train_acc: 1.00, val_acc: 0.91
Epoch 94, Loss: 0.0098, train_acc: 0.99, val_acc: 0.91
Epoch 95, Loss: 0.0074, train_acc: 0.99, val_acc: 0.91
Epoch 96, Loss: 0.0995, train_acc: 1.00, val_acc: 0.92
Epoch 97, Loss: 0.0269, train_acc: 0.99, val_acc: 0.91
Epoch 98, Loss: 0.0103, train_acc: 1.00, val_acc: 0.92
Epoch 99, Loss: 0.0018, train_acc: 1.00, val_acc: 0.92
Epoch 100, Loss: 0.0565, train_acc: 1.00, val_acc: 0.91
test_acc: 0.91
