nohup: ignoring input
Epoch 1, Loss: 1.5648, Train Accuracy: 0.43, Val Accuracy: 0.44
Epoch 2, Loss: 1.4455, Train Accuracy: 0.49, Val Accuracy: 0.48
Epoch 3, Loss: 1.2673, Train Accuracy: 0.53, Val Accuracy: 0.52
Epoch 4, Loss: 1.1311, Train Accuracy: 0.53, Val Accuracy: 0.52
Epoch 5, Loss: 1.3407, Train Accuracy: 0.56, Val Accuracy: 0.55
Epoch 6, Loss: 1.2128, Train Accuracy: 0.59, Val Accuracy: 0.56
Epoch 7, Loss: 1.2071, Train Accuracy: 0.60, Val Accuracy: 0.57
Epoch 8, Loss: 1.2441, Train Accuracy: 0.62, Val Accuracy: 0.58
Epoch 9, Loss: 1.0935, Train Accuracy: 0.63, Val Accuracy: 0.58
Epoch 10, Loss: 1.0523, Train Accuracy: 0.64, Val Accuracy: 0.58
Epoch 11, Loss: 1.3308, Train Accuracy: 0.64, Val Accuracy: 0.59
Epoch 12, Loss: 0.8413, Train Accuracy: 0.67, Val Accuracy: 0.60
Epoch 13, Loss: 1.0361, Train Accuracy: 0.67, Val Accuracy: 0.59
Epoch 14, Loss: 0.8848, Train Accuracy: 0.68, Val Accuracy: 0.60
Epoch 15, Loss: 0.9517, Train Accuracy: 0.70, Val Accuracy: 0.60
Epoch 16, Loss: 0.9285, Train Accuracy: 0.71, Val Accuracy: 0.60
Epoch 17, Loss: 0.7327, Train Accuracy: 0.74, Val Accuracy: 0.61
Epoch 18, Loss: 0.5708, Train Accuracy: 0.74, Val Accuracy: 0.61
Epoch 19, Loss: 0.9029, Train Accuracy: 0.75, Val Accuracy: 0.61
Epoch 20, Loss: 1.1379, Train Accuracy: 0.77, Val Accuracy: 0.61
Epoch 21, Loss: 0.6346, Train Accuracy: 0.79, Val Accuracy: 0.61
Epoch 22, Loss: 0.4569, Train Accuracy: 0.81, Val Accuracy: 0.61
Epoch 23, Loss: 0.6033, Train Accuracy: 0.81, Val Accuracy: 0.61
Epoch 24, Loss: 0.7013, Train Accuracy: 0.84, Val Accuracy: 0.61
Epoch 25, Loss: 0.6002, Train Accuracy: 0.84, Val Accuracy: 0.61
Epoch 26, Loss: 0.5619, Train Accuracy: 0.85, Val Accuracy: 0.60
