Epoch 1, Loss: 1.9430, Train Accuracy: 0.31, Val Accuracy: 0.32
Epoch 2, Loss: 1.6455, Train Accuracy: 0.38, Val Accuracy: 0.39
Epoch 3, Loss: 1.5023, Train Accuracy: 0.44, Val Accuracy: 0.44
Epoch 4, Loss: 1.4396, Train Accuracy: 0.47, Val Accuracy: 0.47
Epoch 5, Loss: 1.3254, Train Accuracy: 0.49, Val Accuracy: 0.50
Epoch 6, Loss: 1.5610, Train Accuracy: 0.52, Val Accuracy: 0.52
Epoch 7, Loss: 1.3204, Train Accuracy: 0.55, Val Accuracy: 0.55
Epoch 8, Loss: 1.5286, Train Accuracy: 0.56, Val Accuracy: 0.56
Epoch 9, Loss: 1.3098, Train Accuracy: 0.58, Val Accuracy: 0.57
Epoch 10, Loss: 1.2782, Train Accuracy: 0.61, Val Accuracy: 0.60
Epoch 11, Loss: 0.9794, Train Accuracy: 0.60, Val Accuracy: 0.59
Epoch 12, Loss: 0.9670, Train Accuracy: 0.62, Val Accuracy: 0.61
Epoch 13, Loss: 1.0084, Train Accuracy: 0.63, Val Accuracy: 0.61
Epoch 14, Loss: 1.1265, Train Accuracy: 0.64, Val Accuracy: 0.63
Epoch 15, Loss: 1.1264, Train Accuracy: 0.65, Val Accuracy: 0.65
Epoch 16, Loss: 1.0328, Train Accuracy: 0.66, Val Accuracy: 0.64
Epoch 17, Loss: 1.1568, Train Accuracy: 0.66, Val Accuracy: 0.65
Epoch 18, Loss: 1.1544, Train Accuracy: 0.68, Val Accuracy: 0.66
Epoch 19, Loss: 1.0162, Train Accuracy: 0.68, Val Accuracy: 0.67
Epoch 20, Loss: 0.9717, Train Accuracy: 0.68, Val Accuracy: 0.67
Epoch 21, Loss: 0.7959, Train Accuracy: 0.69, Val Accuracy: 0.67
Epoch 22, Loss: 1.0578, Train Accuracy: 0.70, Val Accuracy: 0.68
Epoch 23, Loss: 0.7999, Train Accuracy: 0.71, Val Accuracy: 0.69
Epoch 24, Loss: 0.7430, Train Accuracy: 0.71, Val Accuracy: 0.70
Epoch 25, Loss: 0.8122, Train Accuracy: 0.71, Val Accuracy: 0.69
Epoch 26, Loss: 0.8401, Train Accuracy: 0.72, Val Accuracy: 0.71
Epoch 27, Loss: 0.7576, Train Accuracy: 0.72, Val Accuracy: 0.71
