Epoch 1, Loss: 2.1578, Train Accuracy: 0.29, Val Accuracy: 0.29
Epoch 2, Loss: 1.7602, Train Accuracy: 0.34, Val Accuracy: 0.34
Epoch 3, Loss: 1.7965, Train Accuracy: 0.38, Val Accuracy: 0.38
Epoch 4, Loss: 1.6332, Train Accuracy: 0.41, Val Accuracy: 0.40
Epoch 5, Loss: 1.3701, Train Accuracy: 0.45, Val Accuracy: 0.44
Epoch 6, Loss: 1.3083, Train Accuracy: 0.48, Val Accuracy: 0.46
Epoch 7, Loss: 1.4954, Train Accuracy: 0.49, Val Accuracy: 0.48
Epoch 8, Loss: 1.4111, Train Accuracy: 0.51, Val Accuracy: 0.50
Epoch 9, Loss: 1.3598, Train Accuracy: 0.52, Val Accuracy: 0.51
Epoch 10, Loss: 1.2277, Train Accuracy: 0.54, Val Accuracy: 0.53
Epoch 11, Loss: 1.3076, Train Accuracy: 0.54, Val Accuracy: 0.52
Epoch 12, Loss: 1.4169, Train Accuracy: 0.55, Val Accuracy: 0.54
Epoch 13, Loss: 1.1933, Train Accuracy: 0.56, Val Accuracy: 0.55
Epoch 14, Loss: 1.1792, Train Accuracy: 0.58, Val Accuracy: 0.56
Epoch 15, Loss: 1.1634, Train Accuracy: 0.58, Val Accuracy: 0.56
Epoch 16, Loss: 1.2933, Train Accuracy: 0.57, Val Accuracy: 0.56
Epoch 17, Loss: 1.2307, Train Accuracy: 0.59, Val Accuracy: 0.57
Epoch 18, Loss: 1.2052, Train Accuracy: 0.59, Val Accuracy: 0.58
Epoch 19, Loss: 1.5050, Train Accuracy: 0.60, Val Accuracy: 0.58
Epoch 20, Loss: 1.1528, Train Accuracy: 0.60, Val Accuracy: 0.58
Epoch 21, Loss: 1.1716, Train Accuracy: 0.61, Val Accuracy: 0.59
Epoch 22, Loss: 0.9653, Train Accuracy: 0.61, Val Accuracy: 0.59
Epoch 23, Loss: 0.9778, Train Accuracy: 0.61, Val Accuracy: 0.58
Epoch 24, Loss: 1.2734, Train Accuracy: 0.61, Val Accuracy: 0.59
Epoch 25, Loss: 0.9297, Train Accuracy: 0.61, Val Accuracy: 0.59
Epoch 26, Loss: 1.0443, Train Accuracy: 0.63, Val Accuracy: 0.60
Epoch 27, Loss: 0.8403, Train Accuracy: 0.63, Val Accuracy: 0.60
Epoch 28, Loss: 1.1366, Train Accuracy: 0.63, Val Accuracy: 0.60
Epoch 29, Loss: 1.2275, Train Accuracy: 0.63, Val Accuracy: 0.60
Epoch 30, Loss: 0.9520, Train Accuracy: 0.64, Val Accuracy: 0.60
Epoch 31, Loss: 1.0522, Train Accuracy: 0.65, Val Accuracy: 0.61
Epoch 32, Loss: 0.9487, Train Accuracy: 0.65, Val Accuracy: 0.62
Epoch 33, Loss: 0.8477, Train Accuracy: 0.65, Val Accuracy: 0.62
Epoch 34, Loss: 1.0568, Train Accuracy: 0.65, Val Accuracy: 0.63
Epoch 35, Loss: 0.8907, Train Accuracy: 0.65, Val Accuracy: 0.62
Epoch 36, Loss: 0.9231, Train Accuracy: 0.66, Val Accuracy: 0.63
Epoch 37, Loss: 1.0735, Train Accuracy: 0.66, Val Accuracy: 0.63
Epoch 38, Loss: 0.9342, Train Accuracy: 0.66, Val Accuracy: 0.63
Epoch 39, Loss: 0.8578, Train Accuracy: 0.67, Val Accuracy: 0.63
Epoch 40, Loss: 1.0186, Train Accuracy: 0.67, Val Accuracy: 0.62
Epoch 41, Loss: 1.1961, Train Accuracy: 0.68, Val Accuracy: 0.64
Epoch 42, Loss: 0.8379, Train Accuracy: 0.67, Val Accuracy: 0.62
Epoch 43, Loss: 1.0871, Train Accuracy: 0.68, Val Accuracy: 0.63
Epoch 44, Loss: 0.9597, Train Accuracy: 0.68, Val Accuracy: 0.64
Epoch 45, Loss: 0.7215, Train Accuracy: 0.68, Val Accuracy: 0.63
Epoch 46, Loss: 0.9318, Train Accuracy: 0.68, Val Accuracy: 0.63
Epoch 47, Loss: 1.0342, Train Accuracy: 0.69, Val Accuracy: 0.64
Epoch 48, Loss: 0.7680, Train Accuracy: 0.69, Val Accuracy: 0.65
Epoch 49, Loss: 0.7536, Train Accuracy: 0.70, Val Accuracy: 0.65
Epoch 50, Loss: 0.9064, Train Accuracy: 0.70, Val Accuracy: 0.64
Epoch 51, Loss: 0.8313, Train Accuracy: 0.70, Val Accuracy: 0.64
Epoch 52, Loss: 0.9373, Train Accuracy: 0.70, Val Accuracy: 0.64
Epoch 53, Loss: 0.8668, Train Accuracy: 0.71, Val Accuracy: 0.65
Epoch 54, Loss: 0.7956, Train Accuracy: 0.71, Val Accuracy: 0.65
Epoch 55, Loss: 1.0337, Train Accuracy: 0.71, Val Accuracy: 0.64
Epoch 56, Loss: 0.7436, Train Accuracy: 0.72, Val Accuracy: 0.66
Epoch 57, Loss: 0.7321, Train Accuracy: 0.71, Val Accuracy: 0.66
Epoch 58, Loss: 0.8430, Train Accuracy: 0.72, Val Accuracy: 0.66
Epoch 59, Loss: 0.8790, Train Accuracy: 0.72, Val Accuracy: 0.66
Epoch 60, Loss: 1.0198, Train Accuracy: 0.72, Val Accuracy: 0.66
Epoch 61, Loss: 0.7449, Train Accuracy: 0.72, Val Accuracy: 0.65
Epoch 62, Loss: 0.9344, Train Accuracy: 0.73, Val Accuracy: 0.66
Epoch 63, Loss: 0.7234, Train Accuracy: 0.73, Val Accuracy: 0.66
Epoch 64, Loss: 0.5941, Train Accuracy: 0.73, Val Accuracy: 0.65
Epoch 65, Loss: 0.6806, Train Accuracy: 0.73, Val Accuracy: 0.66
Epoch 66, Loss: 0.5677, Train Accuracy: 0.73, Val Accuracy: 0.66
